Start Time:  22-07-2025 13:37:18          Time Completed:  22-07-2025 14:26:57      Elapsed Time:  00:49:38
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\BA_seco_orientado_vert.txt
Plot File:     C:\IDEASVSM\LS_QC\BA_seco_orientado_vert.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\BA_seco_orientado_vert.dat

***DATA***

Field(G)	 Moment(emu)	
 19000.1 	 0.00526636 	
 18000 	 0.00521078 	
 17000 	 0.00520943 	
 16000 	 0.0052047 	
 15000 	 0.00519912 	
 14000 	 0.00519116 	
 13000.1 	 0.00518291 	
 12000 	 0.00517322 	
 10999.9 	 0.00515925 	
 9999.98 	 0.00514548 	
 8999.98 	 0.00512632 	
 7999.97 	 0.00510445 	
 6999.99 	 0.00507413 	
 5999.98 	 0.00503667 	
 4999.99 	 0.00498736 	
 4000 	 0.00489872 	
 3000.09 	 0.00475758 	
 1999.99 	 0.00449597 	
 999.987 	 0.00386135 	
 949.992 	 0.0038057 	
 899.986 	 0.0037476 	
 849.994 	 0.00368534 	
 799.999 	 0.00361898 	
 749.998 	 0.00354721 	
 699.998 	 0.00346207 	
 650.003 	 0.00338207 	
 600.005 	 0.0032907 	
 549.997 	 0.00318902 	
 499.986 	 0.00307942 	
 450 	 0.00295736 	
 399.993 	 0.00282257 	
 350.024 	 0.00267067 	
 299.998 	 0.00250401 	
 250.006 	 0.00231617 	
 199.999 	 0.00210405 	
 190.004 	 0.00205238 	
 179.999 	 0.00200335 	
 169.993 	 0.00195505 	
 159.996 	 0.00190533 	
 149.984 	 0.00185521 	
 139.991 	 0.0018041 	
 130 	 0.00175196 	
 120.009 	 0.00169827 	
 109.995 	 0.00164448 	
 100.004 	 0.00158881 	
 90.0062 	 0.00153166 	
 80.004 	 0.0014734 	
 69.9981 	 0.00141477 	
 60.0008 	 0.00135513 	
 50.0045 	 0.0012943 	
 40.0014 	 0.00123217 	
 29.9954 	 0.00116929 	
 20.0022 	 0.00110599 	
 18.0002 	 0.00108267 	
 16.0044 	 0.00106317 	
 13.9968 	 0.00104613 	
 12.0039 	 0.00101941 	
 10.0076 	 0.00100797 	
 7.99572 	 0.000995784 	
 5.99614 	 0.000983433 	
 3.99563 	 0.000971249 	
 1.99522 	 0.000958546 	
-0.000494295 	 0.000945921 	
-2.00709 	 0.000933106 	
-3.99796 	 0.00092039 	
-6.00143 	 0.000908262 	
-8.00482 	 0.000895382 	
-10.0014 	 0.00088339 	
-12.0034 	 0.000870598 	
-14.002 	 0.0008576 	
-15.998 	 0.000845015 	
-18.004 	 0.000832187 	
-20.0036 	 0.000818703 	
-29.9963 	 0.000771587 	
-40.0021 	 0.000715346 	
-50.0006 	 0.000653877 	
-59.9852 	 0.000590224 	
-70.0073 	 0.000526041 	
-80.0001 	 0.000460229 	
-89.9983 	 0.000383225 	
-100.003 	 0.000323907 	
-109.992 	 0.000258841 	
-120.005 	 0.000191335 	
-130.004 	 0.000122971 	
-139.994 	 0.0000534254 	
-149.989 	-0.0000298268 	
-159.986 	-0.000116174 	
-170.006 	-0.000174787 	
-179.998 	-0.000246258 	
-190.12 	-0.000325196 	
-200.002 	-0.000407259 	
-250.001 	-0.000905068 	
-300.008 	-0.00137623 	
-349.996 	-0.00181881 	
-399.999 	-0.00217866 	
-450.007 	-0.00246813 	
-500.01 	-0.002702 	
-550.008 	-0.00289547 	
-600.004 	-0.00305684 	
-649.996 	-0.00319533 	
-700 	-0.00331439 	
-749.999 	-0.00341908 	
-800.007 	-0.00351192 	
-850.008 	-0.00359536 	
-900.003 	-0.00367007 	
-949.997 	-0.00373943 	
-999.999 	-0.00380218 	
-2000.01 	-0.00447428 	
-3000 	-0.004743 	
-4000.02 	-0.00488515 	
-5000.02 	-0.00497349 	
-5999.99 	-0.00502386 	
-7000.03 	-0.0050612 	
-8000.02 	-0.00508936 	
-9000 	-0.00511272 	
-10000 	-0.00513068 	
-11000 	-0.00514591 	
-12000 	-0.00515884 	
-13000 	-0.00516954 	
-14000 	-0.00517895 	
-15000 	-0.00518662 	
-16000 	-0.00519289 	
-17000 	-0.00519794 	
-18000 	-0.00520333 	
-19000 	-0.00520687 	
-18000 	-0.00520768 	
-17000 	-0.00520452 	
-16000 	-0.00519937 	
-15000 	-0.00519298 	
-14000 	-0.00518562 	
-13000 	-0.00517739 	
-12000 	-0.00516627 	
-11000 	-0.00515497 	
-9999.99 	-0.00513978 	
-8999.98 	-0.0051209 	
-8000 	-0.00509715 	
-6999.99 	-0.00506853 	
-5999.97 	-0.00503027 	
-5000 	-0.0049802 	
-4000 	-0.00489109 	
-2999.92 	-0.00475049 	
-2000 	-0.00448894 	
-999.998 	-0.00385657 	
-950.006 	-0.00380208 	
-899.998 	-0.00374364 	
-850.008 	-0.00368187 	
-799.996 	-0.00361439 	
-749.993 	-0.0035414 	
-699.997 	-0.00346387 	
-650.003 	-0.00337806 	
-599.99 	-0.00328617 	
-549.991 	-0.00318556 	
-499.988 	-0.00307546 	
-450.001 	-0.00295227 	
-399.998 	-0.0028172 	
-349.988 	-0.00266678 	
-299.996 	-0.00250065 	
-249.998 	-0.00231237 	
-199.999 	-0.00210077 	
-189.99 	-0.00204903 	
-180.005 	-0.00199933 	
-169.993 	-0.00195137 	
-159.996 	-0.00190248 	
-150.003 	-0.00185199 	
-139.993 	-0.00180048 	
-129.995 	-0.00174828 	
-120.007 	-0.00169511 	
-110.004 	-0.00164057 	
-99.9993 	-0.00158498 	
-89.9979 	-0.00152879 	
-80.0031 	-0.00147112 	
-69.9974 	-0.0014126 	
-60 	-0.00135194 	
-50.0072 	-0.00129153 	
-39.9934 	-0.0012299 	
-30.0006 	-0.00116774 	
-20.0057 	-0.00110606 	
-18.0033 	-0.00108276 	
-15.9912 	-0.0010637 	
-14.0041 	-0.00104812 	
-12.0001 	-0.00103237 	
-10.0043 	-0.00101814 	
-7.99513 	-0.00100367 	
-5.99508 	-0.000989964 	
-4.00706 	-0.000976793 	
-1.99997 	-0.000963407 	
-0.00104195 	-0.000950814 	
 1.99844 	-0.000937581 	
 4.00313 	-0.000924332 	
 6.00428 	-0.000910927 	
 8.00587 	-0.000898083 	
 10.0002 	-0.000885596 	
 11.997 	-0.000872752 	
 13.9952 	-0.000859556 	
 15.9947 	-0.000846875 	
 17.9929 	-0.000834473 	
 19.9985 	-0.000821138 	
 29.998 	-0.000772084 	
 40.0049 	-0.000714991 	
 49.9969 	-0.000653509 	
 59.9958 	-0.00058893 	
